150,70,413.69
150,80,413.25
150,20,411.13
150,5,409.42
150,1,414.97
150,40,420.53
150,30,421.17
150,60,418.55
150,50,406.85
150,10,419.64
1050,70,366.21
1050,80,370.00
1050,20,358.50
1050,5,359.93
1050,1,358.89
1050,40,359.80
1050,30,361.76
1050,60,364.64
1050,50,362.55
1050,10,359.80
50,70,828.96
50,80,806.04
50,20,802.22
50,5,795.02
50,1,668.80
50,40,810.07
50,30,789.71
50,60,776.90
50,50,847.52
50,10,689.72
100,70,448.57
100,80,494.35
100,20,460.35
100,5,435.61
100,1,451.21
100,40,476.32
100,30,456.40
100,60,455.95
100,50,457.08
100,10,457.70
850,70,353.04
850,80,357.33
850,20,344.76
850,5,345.81
850,1,345.39
850,40,346.65
850,30,347.49
850,60,351.36
850,50,348.74
850,10,346.02
700,70,345.72
700,80,349.13
700,20,337.95
700,5,338.03
700,1,337.69
700,40,338.38
700,30,340.04
700,60,343.36
700,50,340.48
700,10,338.73
200,70,394.90
200,80,392.98
200,20,386.95
200,5,386.40
200,1,385.95
200,40,395.55
200,30,389.25
200,60,395.65
200,50,398.75
200,10,386.65
250,70,366.66
250,80,369.72
250,20,358.78
250,5,358.50
250,1,358.12
250,40,362.12
250,30,359.91
250,60,363.84
250,50,363.50
250,10,358.62
550,70,358.03
550,80,360.38
550,20,350.35
550,5,350.62
550,1,350.42
550,40,352.15
550,30,352.91
550,60,356.30
550,50,353.88
550,10,351.04
350,70,341.60
350,80,345.67
350,20,334.38
350,5,333.54
350,1,333.28
350,40,335.51
350,30,335.47
350,60,339.54
350,50,337.22
350,10,333.94
450,70,357.99
450,80,362.58
450,20,350.28
450,5,349.66
450,1,349.55
450,40,352.15
450,30,351.70
450,60,355.27
450,50,354.25
450,10,350.11
