---------------------------------------
fault injection points:
Location:  tb_network_4x4:NoC:R_10:RX_W(5) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_10:RX_E(27) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_11:RX_L(12) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_11:RX_N(22) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_11:RX_S(1) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_11:RX_W(14) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_12:RX_L(31) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_12:RX_N(9) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_12:RX_E(8) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_13:RX_L(11) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_13:RX_N(27) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_13:RX_W(4) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_13:RX_E(13) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_14:RX_L(17) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_14:RX_N(4) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_14:RX_W(12) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_14:RX_E(21) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_15:RX_L(3) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_15:RX_N(0) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_15:RX_W(16) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
---------------------------------------

[1m[91mERROR: [0mOpen sent.txt: Error 2: No such file or directory
